District,Latitude,Longitude
Agar Malwa,23.7114,76.0169
Alirajpur,22.3147,74.3555
Anuppur,23.1018,81.6977
Ashoknagar,24.5775,77.7302
Balaghat,21.8167,80.1833
Barwani,21.8222,74.8983
Betul,21.8667,77.9
Bhind,26.5609,78.7873
Bhopal,23.2599,77.4126
Burhanpur,21.3086,76.2294
Chhatarpur,24.9039,79.5967
Chhindwara,22.0582,78.9373
Damoh,23.8361,79.4419
Datia,25.6651,78.4628
Dewas,22.9676,76.0534
Dhar,22.5937,75.2973
Dindori,22.9439,81.0763
Guna,24.6476,77.3113
Gwalior,26.2183,78.1828
Harda,22.3386,77.0958
Hoshangabad,22.7461,77.7081
Indore,22.7196,75.8577
Jabalpur,23.1815,79.9864
Jhabua,22.7671,74.5901
Katni,23.8337,80.3948
Khandwa,21.832,76.3502
Khargone,21.8335,75.614
Mandla,22.5998,80.3714
Mandsaur,24.0718,74.9262
Morena,26.5017,77.9944
Narsinghpur,22.9506,78.7772
Neemuch,24.4724,74.8669
Panna,24.7277,80.1875
Raisen,23.3302,77.7823
Rajgarh,23.8645,76.7337
Ratlam,23.3315,75.0367
Rewa,24.53,81.3039
Sagar,23.8388,78.7378
Satna,24.5325,80.8322
Sehore,23.2,77.0833
Seoni,22.0833,79.55
Shahdol,23.2848,81.3568
Shajapur,23.4183,76.2771
Sheopur,25.6671,76.6967
Shivpuri,24.4167,81.88
Sidhi,24.1964,82.6666
Singrauli,24.7456,78.8312
Tikamgarh,23.1828,75.7683
Ujjain,23.5247,80.8373
Umaria,23.5283,77.8136
Ahmednagar,19.0952,74.7496
Akola,20.665,77.05
Amravati,20.9333,77.75
Aurangabad,19.9011,75.3333
Beed,18.9894,75.7617
Bhandara,21.1667,79.65
Buldhana,20.5333,76.1833
Chandrapur,19.8333,79.1833
Dhule,20.9013,74.7774
Gadchiroli,19.9844,80.2894
Gondia,21.4567,80.2197
Hingoli,19.7167,77.1667
Jalgaon,21.0077,75.5626
Jalna,19.841,75.88
Kolhapur,16.7042,74.2433
Latur,18.4,76.5833
Mumbai City,18.9475,72.8238
Mumbai Suburban,19.12,72.908
Nagpur,21.1498,79.0806
Nanded,19.0952,77.321
Nandurbar,21.325,74.247
Nashik,20.011,73.7903
Osmanabad,18.169,76.041
Palghar,19.6968,72.7657
Parbhani,19.2608,76.7766
Pune,18.5204,73.8567
Raigad,18.6769,73.4259
Ratnagiri,16.9902,73.3107
Sangli,16.8524,74.5815
Satara,17.6805,74.0183
Sindhudurg,16.2345,73.6586
Solapur,17.6599,75.9064
Thane,19.2183,73.0997
Wardha,20.75,78.6
Washim,20.1167,77.1333
Yavatmal,20.4,78.1333
