PS,TS,QV2M,WS2M,T2M_MAX,T2M_MIN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,YEAR,DISTRICT
95.63,26.59,9.6,2.39,45.12,5.74,0.57,44.77,1.82,1.09,0.03,18.77,8.48,2001.0,Agar Malwa
95.67,27.09,9.37,2.66,46.21,5.4,0.58,40.52,1.81,1.1,0.03,19.22,8.66,2002.0,Agar Malwa
95.69,25.93,10.65,2.52,45.08,5.55,0.56,43.03,2.91,1.08,0.03,18.57,8.39,2003.0,Agar Malwa
95.68,26.57,10.17,2.44,45.06,5.1,0.58,41.19,2.18,1.1,0.03,19.08,8.62,2004.0,Agar Malwa
95.67,26.29,9.74,2.41,44.78,5.92,0.58,42.67,2.28,1.1,0.03,19.1,8.58,2005.0,Agar Malwa
95.66,26.44,10.84,2.35,45.27,7.43,0.56,43.71,3.5,1.08,0.03,18.65,8.44,2006.0,Agar Malwa
95.64,26.22,10.47,2.28,44.57,8.7,0.57,41.71,2.55,1.1,0.03,19.07,8.6,2007.0,Agar Malwa
95.64,26.34,10.01,2.41,43.74,4.17,0.56,44.94,1.84,1.07,0.03,18.7,8.41,2008.0,Agar Malwa
95.65,27.1,10.47,2.47,45.3,8.55,0.58,39.44,2.53,1.1,0.03,19.19,8.63,2009.0,Agar Malwa
95.63,26.88,11.11,2.33,46.45,6.1,0.57,44.75,2.26,1.1,0.03,19.0,8.58,2010.0,Agar Malwa
95.62,25.97,10.73,2.3,45.67,3.26,0.56,40.77,3.14,1.06,0.03,18.5,8.35,2011.0,Agar Malwa
95.63,25.81,10.11,2.55,44.69,4.16,0.55,46.02,2.49,1.05,0.03,18.33,8.25,2012.0,Agar Malwa
95.64,25.22,11.27,2.41,45.24,3.43,0.53,47.29,3.93,1.01,0.03,17.48,7.89,2013.0,Agar Malwa
95.74,26.28,10.61,2.56,45.76,4.42,0.56,43.99,2.39,1.07,0.03,18.64,8.41,2014.0,Agar Malwa
95.79,26.11,10.64,2.51,46.15,5.3,0.55,44.0,3.17,1.04,0.03,18.19,8.2,2015.0,Agar Malwa
95.71,26.12,10.45,2.42,47.65,5.15,0.56,45.58,3.39,1.05,0.03,18.42,8.28,2016.0,Agar Malwa
95.69,26.88,9.95,2.47,46.27,3.26,0.56,45.09,1.81,1.06,0.03,18.58,8.34,2017.0,Agar Malwa
95.68,26.96,9.53,2.47,46.22,3.52,0.55,42.76,1.75,1.03,0.03,18.17,8.15,2018.0,Agar Malwa
97.43,27.68,10.11,2.66,44.9,8.16,0.57,39.71,1.47,1.1,0.03,19.12,8.63,2001.0,Alirajpur
97.49,27.74,10.17,2.75,46.74,7.91,0.57,37.16,1.69,1.1,0.03,19.21,8.67,2002.0,Alirajpur
97.49,26.83,11.49,2.67,44.87,8.42,0.57,39.93,3.03,1.1,0.03,19.07,8.62,2003.0,Alirajpur
97.49,27.3,11.05,2.63,44.69,9.3,0.57,40.3,2.43,1.1,0.03,19.12,8.64,2004.0,Alirajpur
97.47,26.83,10.64,2.53,44.39,8.16,0.58,37.89,2.69,1.12,0.03,19.5,8.76,2005.0,Alirajpur
97.47,27.17,11.56,2.55,45.26,8.89,0.56,40.39,3.13,1.07,0.03,18.61,8.41,2006.0,Alirajpur
97.43,27.24,11.29,2.44,45.37,10.74,0.58,37.51,2.77,1.11,0.03,19.24,8.68,2007.0,Alirajpur
97.43,27.16,10.65,2.65,44.41,6.75,0.56,39.94,1.8,1.07,0.03,18.76,8.43,2008.0,Alirajpur
97.46,27.71,11.31,2.61,45.62,10.65,0.58,35.81,2.45,1.1,0.03,19.41,8.71,2009.0,Alirajpur
97.42,27.51,12.15,2.49,46.47,8.59,0.57,40.51,2.8,1.09,0.03,18.99,8.58,2010.0,Alirajpur
97.41,27.27,11.05,2.61,44.22,7.44,0.56,37.0,2.47,1.06,0.03,18.69,8.41,2011.0,Alirajpur
97.43,26.85,10.78,2.79,43.01,6.25,0.56,40.13,2.21,1.06,0.03,18.71,8.39,2012.0,Alirajpur
97.44,26.16,11.83,2.66,44.64,6.93,0.53,43.73,3.67,1.02,0.03,17.75,7.99,2013.0,Alirajpur
97.55,27.39,11.17,2.62,45.42,6.91,0.57,37.08,2.27,1.08,0.03,18.93,8.51,2014.0,Alirajpur
97.58,27.28,11.26,2.6,44.68,8.68,0.55,39.04,2.61,1.05,0.03,18.54,8.32,2015.0,Alirajpur
97.52,27.23,10.92,2.57,47.21,8.3,0.55,42.55,2.28,1.05,0.03,18.47,8.3,2016.0,Alirajpur
97.5,27.26,10.89,2.56,44.73,7.56,0.56,39.97,2.27,1.06,0.03,18.7,8.38,2017.0,Alirajpur
97.49,27.77,10.15,2.61,45.05,7.63,0.55,38.15,1.77,1.03,0.03,18.47,8.26,2018.0,Alirajpur
93.93,24.31,10.87,2.04,44.1,5.16,0.54,51.05,3.9,1.05,0.03,18.07,8.14,2001.0,Anuppur
93.98,24.84,10.24,2.04,44.77,5.38,0.56,48.01,2.74,1.07,0.03,18.56,8.34,2002.0,Anuppur
94.0,24.39,11.06,1.98,45.27,4.52,0.53,52.87,3.79,1.03,0.03,17.75,7.99,2003.0,Anuppur
94.0,23.88,11.13,1.87,43.16,4.01,0.57,46.68,3.35,1.08,0.03,18.78,8.42,2004.0,Anuppur
93.99,24.12,10.81,1.89,44.41,5.41,0.55,50.02,3.9,1.06,0.03,18.38,8.22,2005.0,Anuppur
93.99,24.92,11.05,1.94,43.03,5.03,0.55,49.64,2.73,1.05,0.03,18.12,8.16,2006.0,Anuppur
93.97,24.29,11.02,1.9,44.02,6.72,0.55,50.4,3.2,1.05,0.03,18.32,8.22,2007.0,Anuppur
93.95,24.12,10.93,1.85,43.06,3.64,0.55,51.53,3.22,1.04,0.03,18.24,8.15,2008.0,Anuppur
