-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2019 in LST
Location: Latitude  20.4   Longitude 78.1333 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 320.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_RANGE              MERRA-2 Temperature at 2 Meters Range (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_PAR_TOT,1990,8.49,9.4,11.02,12.03,11.26,9.0,8.05,7.81,8.14,8.63,8.32,7.65,9.15
ALLSKY_SFC_PAR_TOT,1991,7.86,9.78,11.18,11.93,12.46,9.65,7.8,7.11,10.04,9.27,7.53,7.56,9.35
ALLSKY_SFC_PAR_TOT,1992,8.3,9.78,10.81,11.43,12.59,10.58,9.76,6.85,9.06,8.74,7.62,7.95,9.46
ALLSKY_SFC_PAR_TOT,1993,8.33,9.71,10.85,11.91,12.26,10.47,8.17,7.55,7.89,8.82,8.33,7.17,9.29
ALLSKY_SFC_PAR_TOT,1994,7.69,9.66,11.49,11.09,12.56,8.3,6.91,6.77,8.74,8.75,8.34,7.74,9.0
ALLSKY_SFC_PAR_TOT,1995,7.6,9.74,10.36,11.81,11.61,10.95,7.96,8.63,8.74,8.35,7.91,7.56,9.27
ALLSKY_SFC_PAR_TOT,1996,7.7,9.21,10.75,11.33,12.22,10.7,7.8,7.27,8.99,8.42,8.24,7.18,9.15
ALLSKY_SFC_PAR_TOT,1997,7.47,9.95,10.37,11.26,12.44,10.79,7.89,8.24,8.61,8.6,6.78,5.72,9.01
ALLSKY_SFC_PAR_TOT,1998,7.35,9.46,10.64,11.75,12.11,9.3,7.95,8.53,7.89,8.45,7.59,7.85,9.07
ALLSKY_SFC_PAR_TOT,1999,8.65,9.76,11.39,12.31,11.81,9.5,7.47,7.55,6.0,9.05,8.57,8.11,9.18
ALLSKY_SFC_PAR_TOT,2000,8.53,8.62,11.5,12.39,11.74,8.78,8.23,8.15,9.32,9.88,8.5,7.85,9.46
ALLSKY_SFC_PAR_TOT,2001,6.97,8.78,9.49,10.63,11.54,7.83,6.76,6.49,8.96,8.21,8.06,7.21,8.41
ALLSKY_SFC_PAR_TOT,2002,7.26,8.24,9.96,11.22,11.61,8.25,8.15,5.79,8.95,8.94,8.18,7.23,8.65
