PS,TS,QV2M,WS2M,CLOUD_AMT,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M,PRECTOTCORR,RH2M,GWETROOT,GWETPROF,T2M_RANGE,YEAR,DISTRICT
95.64,25.87,10.95,2.58,57.22,18.09,8.61,25.19,3.17,53.67,0.7,0.7,40.66,1990.0,Agar Malwa
95.67,26.46,9.11,2.56,49.61,19.24,9.12,25.64,2.06,43.7,0.66,0.66,45.63,1991.0,Agar Malwa
95.71,26.43,9.32,2.56,51.12,19.55,9.27,25.45,1.91,45.34,0.65,0.66,40.99,1992.0,Agar Malwa
95.71,26.31,9.84,2.65,52.31,19.42,9.21,25.5,2.49,47.13,0.66,0.67,40.62,1993.0,Agar Malwa
95.65,25.59,9.94,2.52,50.62,19.21,9.12,24.97,3.06,49.64,0.7,0.7,42.99,1994.0,Agar Malwa
95.65,26.22,9.85,2.48,47.45,19.48,9.28,25.32,2.6,48.02,0.66,0.67,41.55,1995.0,Agar Malwa
95.62,25.99,10.02,2.5,45.71,19.18,9.09,25.25,2.95,49.65,0.69,0.69,40.06,1996.0,Agar Malwa
95.75,25.52,10.85,2.51,48.89,18.91,9.02,24.65,2.82,54.48,0.68,0.68,39.46,1997.0,Agar Malwa
95.66,26.35,10.81,2.37,43.56,19.14,9.06,25.57,2.32,51.64,0.67,0.68,42.55,1998.0,Agar Malwa
95.62,26.2,9.89,2.56,39.33,18.9,8.93,25.42,2.18,47.86,0.65,0.65,39.21,1999.0,Agar Malwa
95.58,26.45,8.89,2.6,33.06,19.37,9.12,25.65,1.72,40.03,0.64,0.64,39.74,2000.0,Agar Malwa
95.63,26.59,9.6,2.39,44.77,18.77,8.48,25.67,1.82,43.73,0.65,0.65,39.38,2001.0,Agar Malwa
95.67,27.09,9.37,2.66,40.52,19.22,8.66,26.15,1.81,43.14,0.64,0.64,40.81,2002.0,Agar Malwa
95.69,25.93,10.65,2.52,43.03,18.57,8.39,25.29,2.91,52.81,0.71,0.71,39.53,2003.0,Agar Malwa
95.68,26.57,10.17,2.44,41.19,19.08,8.62,25.8,2.18,48.66,0.67,0.67,39.96,2004.0,Agar Malwa
95.67,26.29,9.74,2.41,42.67,19.1,8.58,25.48,2.28,46.59,0.66,0.66,38.86,2005.0,Agar Malwa
95.66,26.44,10.84,2.35,43.71,18.65,8.44,25.78,3.5,51.62,0.69,0.69,37.84,2006.0,Agar Malwa
95.64,26.22,10.47,2.28,41.71,19.07,8.6,25.58,2.55,50.18,0.69,0.69,35.87,2007.0,Agar Malwa
95.64,26.34,10.01,2.41,44.94,18.7,8.41,25.43,1.84,47.37,0.65,0.65,39.57,2008.0,Agar Malwa
95.65,27.1,10.47,2.47,39.44,19.19,8.63,26.23,2.53,49.76,0.65,0.66,36.75,2009.0,Agar Malwa
95.63,26.88,11.11,2.33,44.75,19.0,8.58,26.07,2.26,53.46,0.67,0.68,40.35,2010.0,Agar Malwa
95.62,25.97,10.73,2.3,40.77,18.5,8.35,25.23,3.14,52.69,0.71,0.71,42.41,2011.0,Agar Malwa
95.63,25.81,10.11,2.55,46.02,18.33,8.25,24.98,2.49,49.42,0.68,0.68,40.53,2012.0,Agar Malwa
95.64,25.22,11.27,2.41,47.29,17.48,7.89,24.57,3.93,56.52,0.73,0.72,41.81,2013.0,Agar Malwa
95.74,26.28,10.61,2.56,43.99,18.64,8.41,25.41,2.39,52.86,0.68,0.68,41.34,2014.0,Agar Malwa
95.79,26.11,10.64,2.51,44.0,18.19,8.2,25.35,3.17,51.99,0.68,0.68,40.85,2015.0,Agar Malwa
95.71,26.12,10.45,2.42,45.58,18.42,8.28,25.66,3.39,50.14,0.7,0.7,42.5,2016.0,Agar Malwa
95.69,26.88,9.95,2.47,45.09,18.58,8.34,26.02,1.81,45.94,0.64,0.64,43.01,2017.0,Agar Malwa
95.68,26.96,9.53,2.47,42.76,18.17,8.15,26.09,1.75,44.52,0.65,0.66,42.7,2018.0,Agar Malwa
95.72,26.07,11.11,2.46,50.17,17.72,8.04,25.19,3.87,55.0,0.73,0.73,44.09,2019.0,Agar Malwa
97.45,26.99,11.52,2.79,55.15,18.5,8.86,26.11,2.71,54.4,0.67,0.67,37.82,1990.0,Alirajpur
97.47,27.74,9.59,2.67,49.27,19.41,9.28,26.71,1.7,43.56,0.63,0.64,42.97,1991.0,Alirajpur
97.52,27.5,9.87,2.73,50.21,19.61,9.4,26.41,1.59,45.68,0.62,0.62,36.97,1992.0,Alirajpur
97.51,27.34,10.6,2.75,51.41,19.69,9.41,26.37,2.24,49.28,0.65,0.65,36.88,1993.0,Alirajpur
97.46,26.59,10.51,2.74,46.29,19.19,9.15,25.75,3.16,50.92,0.69,0.69,39.46,1994.0,Alirajpur
97.44,27.44,10.27,2.67,46.64,19.41,9.36,26.39,2.24,47.4,0.65,0.64,37.4,1995.0,Alirajpur
97.43,27.02,10.69,2.68,45.13,19.26,9.23,26.09,2.49,50.93,0.67,0.67,35.98,1996.0,Alirajpur
97.55,26.55,11.49,2.62,45.04,19.08,9.15,25.65,2.85,55.36,0.68,0.67,36.67,1997.0,Alirajpur
97.45,27.21,11.59,2.54,44.36,18.98,9.06,26.36,2.48,53.52,0.68,0.67,39.46,1998.0,Alirajpur
97.42,27.14,10.55,2.75,37.48,19.42,9.27,26.22,1.95,49.33,0.63,0.63,35.91,1999.0,Alirajpur
97.38,27.66,9.63,2.71,34.13,19.68,9.41,26.71,1.61,42.42,0.62,0.62,37.54,2000.0,Alirajpur
97.43,27.68,10.11,2.66,39.71,19.12,8.63,26.65,1.47,45.04,0.62,0.62,36.74,2001.0,Alirajpur
97.49,27.74,10.17,2.75,37.16,19.21,8.67,26.75,1.69,45.64,0.62,0.63,38.83,2002.0,Alirajpur
97.49,26.83,11.49,2.67,39.93,19.07,8.62,26.09,3.03,55.04,0.7,0.7,36.45,2003.0,Alirajpur
97.49,27.3,11.05,2.63,40.3,19.12,8.64,26.45,2.43,51.35,0.66,0.66,35.39,2004.0,Alirajpur
97.47,26.83,10.64,2.53,37.89,19.5,8.76,26.04,2.69,50.19,0.68,0.67,36.23,2005.0,Alirajpur
97.47,27.17,11.56,2.55,40.39,18.61,8.41,26.39,3.13,54.14,0.68,0.68,36.37,2006.0,Alirajpur
97.43,27.24,11.29,2.44,37.51,19.24,8.68,26.46,2.77,52.32,0.69,0.68,34.63,2007.0,Alirajpur
97.43,27.16,10.65,2.65,39.94,18.76,8.43,26.25,1.8,49.15,0.64,0.64,37.66,2008.0,Alirajpur
97.46,27.71,11.31,2.61,35.81,19.41,8.71,26.82,2.45,52.32,0.65,0.65,34.97,2009.0,Alirajpur
97.42,27.51,12.15,2.49,40.51,18.99,8.58,26.68,2.8,56.4,0.68,0.68,37.88,2010.0,Alirajpur
97.41,27.27,11.05,2.61,37.0,18.69,8.41,26.3,2.47,51.45,0.67,0.67,36.78,2011.0,Alirajpur
97.43,26.85,10.78,2.79,40.13,18.71,8.39,25.9,2.21,50.21,0.65,0.66,36.76,2012.0,Alirajpur
97.44,26.16,11.83,2.66,43.73,17.75,7.99,25.44,3.67,57.52,0.72,0.71,37.71,2013.0,Alirajpur
97.55,27.39,11.17,2.62,37.08,18.93,8.51,26.29,2.27,52.56,0.66,0.66,38.51,2014.0,Alirajpur
97.58,27.28,11.26,2.6,39.04,18.54,8.32,26.41,2.61,52.24,0.66,0.65,36.0,2015.0,Alirajpur
97.52,27.23,10.92,2.57,42.55,18.47,8.3,26.39,2.28,50.89,0.67,0.67,38.91,2016.0,Alirajpur
97.5,27.26,10.89,2.56,39.97,18.7,8.38,26.4,2.27,50.41,0.66,0.66,37.17,2017.0,Alirajpur
97.49,27.77,10.15,2.61,38.15,18.47,8.26,26.76,1.77,46.16,0.64,0.64,37.42,2018.0,Alirajpur
97.53,26.66,11.95,2.65,42.98,18.18,8.21,25.79,3.72,57.59,0.72,0.71,39.24,2019.0,Alirajpur
93.94,24.0,11.54,2.06,60.09,18.61,8.59,23.7,3.93,59.89,0.61,0.6,35.1,1990.0,Anuppur
93.97,25.0,10.11,2.05,55.52,19.29,8.88,24.56,2.9,51.33,0.53,0.53,42.95,1991.0,Anuppur
94.01,24.73,9.84,1.97,52.18,19.74,9.08,24.29,2.79,49.91,0.52,0.51,41.6,1992.0,Anuppur
94.0,24.38,10.29,1.97,56.2,19.26,8.86,24.14,3.58,52.2,0.57,0.56,38.97,1993.0,Anuppur
93.95,24.41,10.65,1.91,54.68,18.85,8.7,24.15,4.01,54.66,0.59,0.59,39.94,1994.0,Anuppur
93.96,24.28,10.76,1.93,57.09,18.7,8.69,23.98,3.11,55.71,0.54,0.54,41.69,1995.0,Anuppur
93.94,24.44,10.56,1.9,53.4,18.77,8.66,24.03,2.94,54.63,0.54,0.53,40.29,1996.0,Anuppur
94.05,23.88,10.97,1.99,58.67,18.14,8.37,23.49,4.13,58.33,0.59,0.58,39.43,1997.0,Anuppur
93.99,24.05,11.81,1.88,50.12,18.47,8.56,23.85,3.04,61.9,0.57,0.56,43.05,1998.0,Anuppur
93.9,24.37,10.4,1.97,41.53,18.98,8.62,24.17,3.22,54.36,0.57,0.56,40.19,1999.0,Anuppur
93.88,24.69,9.71,2.01,36.81,19.19,8.76,24.34,2.1,46.98,0.47,0.47,38.08,2000.0,Anuppur
93.93,24.31,10.87,2.04,51.05,18.07,8.14,24.04,3.9,54.5,0.57,0.56,38.94,2001.0,Anuppur
93.98,24.84,10.24,2.04,48.01,18.56,8.34,24.58,2.74,51.59,0.51,0.5,39.39,2002.0,Anuppur
94.0,24.39,11.06,1.98,52.87,17.75,7.99,24.09,3.79,58.05,0.59,0.58,40.75,2003.0,Anuppur
94.0,23.88,11.13,1.87,46.68,18.78,8.42,23.85,3.35,57.77,0.56,0.56,39.15,2004.0,Anuppur
93.99,24.12,10.81,1.89,50.02,18.38,8.22,23.96,3.9,56.67,0.59,0.58,39.0,2005.0,Anuppur
93.99,24.92,11.05,1.94,49.64,18.12,8.16,24.65,2.73,54.45,0.52,0.51,38.0,2006.0,Anuppur
93.97,24.29,11.02,1.9,50.4,18.32,8.22,24.06,3.2,56.24,0.57,0.56,37.3,2007.0,Anuppur
93.95,24.12,10.93,1.85,51.53,18.24,8.15,23.87,3.22,56.61,0.56,0.55,39.42,2008.0,Anuppur
93.97,25.52,10.43,1.91,46.97,18.8,8.4,25.03,2.47,51.77,0.49,0.48,36.74,2009.0,Anuppur
93.97,25.53,11.0,1.85,52.36,18.71,8.39,25.01,2.78,54.43,0.53,0.52,38.98,2010.0,Anuppur
93.94,24.06,11.34,1.77,51.43,18.0,8.08,23.82,3.83,57.96,0.57,0.56,41.21,2011.0,Anuppur
93.93,24.15,10.6,1.94,52.12,18.24,8.13,23.91,3.26,55.75,0.56,0.55,42.43,2012.0,Anuppur
93.95,23.86,11.73,1.86,55.78,17.71,7.94,23.57,4.58,62.08,0.62,0.61,42.48,2013.0,Anuppur
94.04,23.89,11.55,1.91,52.97,18.16,8.15,23.68,3.45,60.79,0.57,0.56,42.47,2014.0,Anuppur
94.1,24.42,11.53,1.84,51.03,18.08,8.08,24.1,3.23,59.04,0.55,0.55,40.7,2015.0,Anuppur
94.0,24.71,11.28,1.8,56.7,17.78,7.95,24.43,3.71,56.99,0.58,0.57,39.47,2016.0,Anuppur
94.0,25.06,10.87,1.78,44.75,18.61,8.31,24.82,3.38,54.12,0.57,0.56,40.67,2017.0,Anuppur
93.99,24.84,10.65,1.88,44.87,17.9,8.02,24.54,2.94,52.55,0.53,0.52,39.81,2018.0,Anuppur
94.05,24.49,11.33,1.83,49.68,17.88,8.07,24.08,3.7,59.37,0.59,0.58,44.9,2019.0,Anuppur
95.29,25.17,10.66,2.44,55.35,18.38,8.54,24.68,3.38,53.04,0.69,0.69,40.4,1990.0,Ashoknagar
95.32,25.87,8.97,2.45,49.24,19.74,9.09,25.24,2.09,43.67,0.63,0.64,44.55,1991.0,Ashoknagar
95.37,25.89,9.05,2.37,52.08,19.71,9.1,25.17,2.09,44.7,0.64,0.65,42.48,1992.0,Ashoknagar
95.35,25.88,9.46,2.48,52.28,19.81,9.18,25.23,2.24,45.18,0.62,0.63,40.7,1993.0,Ashoknagar
95.3,25.33,9.6,2.37,50.44,19.68,9.12,24.87,2.54,47.29,0.66,0.67,43.35,1994.0,Ashoknagar
95.3,25.6,9.72,2.39,47.93,19.6,9.07,24.95,2.9,47.94,0.65,0.66,42.65,1995.0,Ashoknagar
95.28,25.17,9.9,2.27,47.19,19.24,8.91,24.75,3.34,49.79,0.68,0.68,41.17,1996.0,Ashoknagar
95.4,24.92,10.55,2.4,51.46,19.24,8.93,24.18,2.9,53.72,0.65,0.65,39.0,1997.0,Ashoknagar
95.32,25.78,10.45,2.25,44.62,19.59,9.07,25.11,2.08,50.53,0.64,0.65,43.34,1998.0,Ashoknagar
95.26,25.61,9.53,2.38,40.09,19.06,8.82,25.08,2.25,46.61,0.65,0.65,39.79,1999.0,Ashoknagar
95.22,26.51,8.32,2.57,33.34,19.68,9.05,25.71,1.08,36.53,0.59,0.6,40.4,2000.0,Ashoknagar
95.29,25.33,9.79,2.23,43.86,18.83,8.51,24.87,2.52,45.85,0.65,0.66,40.32,2001.0,Ashoknagar
95.31,26.73,8.99,2.45,39.57,19.36,8.73,25.94,1.82,42.04,0.61,0.62,40.22,2002.0,Ashoknagar
95.34,25.46,10.29,2.34,44.38,18.61,8.42,24.89,2.39,51.8,0.66,0.66,41.02,2003.0,Ashoknagar
95.34,25.99,9.92,2.28,40.2,19.15,8.65,25.43,2.19,48.02,0.64,0.65,40.83,2004.0,Ashoknagar
95.32,25.51,9.72,2.29,40.98,19.2,8.63,24.9,2.31,47.99,0.65,0.66,38.57,2005.0,Ashoknagar
95.32,26.02,10.45,2.26,43.11,18.72,8.47,25.49,2.87,49.89,0.66,0.66,38.51,2006.0,Ashoknagar
95.3,25.48,10.19,2.21,40.1,19.09,8.61,25.05,2.57,49.65,0.66,0.66,37.11,2007.0,Ashoknagar
95.3,25.04,10.43,2.17,44.67,18.61,8.39,24.57,2.75,51.38,0.68,0.68,38.88,2008.0,Ashoknagar
95.31,26.67,10.13,2.33,41.5,19.1,8.61,25.89,1.95,48.72,0.62,0.62,37.83,2009.0,Ashoknagar
95.3,26.24,10.64,2.19,44.54,19.02,8.6,25.57,2.39,52.11,0.66,0.66,40.33,2010.0,Ashoknagar
95.28,25.18,10.72,2.16,39.91,18.59,8.41,24.69,4.4,53.78,0.71,0.71,43.93,2011.0,Ashoknagar
95.28,25.29,9.79,2.38,43.51,18.53,8.34,24.63,2.14,48.63,0.65,0.66,42.12,2012.0,Ashoknagar
95.3,24.56,11.09,2.26,46.13,17.69,7.98,24.1,4.16,56.66,0.69,0.7,43.17,2013.0,Ashoknagar
95.39,25.54,10.41,2.45,43.92,18.72,8.45,24.9,2.6,52.85,0.65,0.65,43.59,2014.0,Ashoknagar
