YEAR,DISTRICT,AREA,YIELD,PS,TS,QV2M,WS2M,CLOUD_AMT,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M,PRECTOTCORR,RH2M,GWETROOT,GWETPROF,T2M_RANGE,Nitrogen(N),Phosphorous(P),Potassium(K),Soil Type,Soil Depth
1990,Jabalpur,11.27,865.0,95.32,25.25,11.51,2.33,61.48,18.53,8.57,24.75,4.3,58.04,0.74,0.74,36.68,Medium ,Low,High,Black,100-300
1991,Jabalpur,14.95,453.0,95.34,26.13,9.86,2.31,58.48,19.34,8.94,25.48,2.83,48.71,0.68,0.68,43.77,Medium ,Low,High,Black,100-300
1992,Jabalpur,23.82,937.0,95.39,26.12,9.68,2.16,56.65,19.72,9.07,25.42,2.93,47.51,0.67,0.68,42.29,Medium ,Low,High,Black,100-300
1993,Jabalpur,38.7,946.0,95.38,25.43,10.41,2.17,59.93,19.32,8.94,25.02,3.73,51.56,0.71,0.71,40.71,Medium ,Low,High,Black,100-300
1994,Jabalpur,28.5,695.0,95.33,25.61,10.42,2.18,59.48,18.88,8.71,25.01,5.05,52.53,0.71,0.71,40.74,Medium ,Low,High,Black,100-300
1995,Jabalpur,39.2,1112.0,95.34,25.39,10.82,2.12,57.38,18.87,8.81,24.94,3.17,54.34,0.7,0.7,41.8,Medium ,Low,High,Black,100-300
1996,Jabalpur,42.7,977.0,95.31,25.94,10.37,2.11,56.75,18.64,8.64,25.21,2.4,51.86,0.67,0.68,40.49,Medium ,Low,High,Black,100-300
1997,Jabalpur,40.3,747.0,95.44,25.11,11.08,2.2,60.55,18.15,8.43,24.49,3.75,56.96,0.73,0.73,39.14,Medium ,Low,High,Black,100-300
1998,Jabalpur,36.3,625.0,95.36,25.22,11.74,2.06,49.61,18.77,8.74,24.87,2.67,59.17,0.7,0.7,42.58,Medium ,Low,High,Black,100-300
1999,Jabalpur,26.4,955.0,95.28,25.4,10.45,2.15,42.04,18.85,8.61,25.04,4.14,53.08,0.72,0.72,40.23,Medium ,Low,High,Black,100-300
